Date,Topic,Description,Learning Objectives,Date,Homework,Note,Status
Week 1,Introduction to Newscasting,Pengenalan dasar newscasting dan peran NEWSGANGS.,Memahami peran dan tanggung jawab newscaster.,09/03/2025,Mencari contoh berita dan menganalisisnya.,,Done
Week 2,Voice Modulation & Diction,"Melatih intonasi, artikulasi, dan dinamika suara.",Mengembangkan keterampilan berbicara yang efektif.,22/03/2025,Latihan vokal dan rekaman suara.,,Done
Week 3,News Script Writing Basics,Mempelajari dasar-dasar penulisan naskah berita.,Menulis naskah berita yang baik dan jelas.,29/03/2025,Menulis naskah berita pendek.,,On progress
Week 4,Teleprompter & On-Camera Presence,Latihan membaca berita menggunakan teleprompter.,Berlatih membaca berita dengan profesional.,,Latihan membaca berita di depan kamera.,,Not Started
Week 5,Live Reporting Techniques,Teknik melaporkan berita secara langsung di lapangan.,Menguasai keterampilan pelaporan langsung.,,Membuat laporan berita singkat.,,Not Started
Week 6,Interviewing Skills,Praktik wawancara dengan narasumber.,Menjadi pewawancara yang baik dan tajam.,,Melakukan wawancara dengan seseorang.,,Not Started
Week 7,Crisis Reporting & Ethics,"Etika dalam pelaporan berita, terutama saat krisis.",Menjaga etika dalam menyampaikan berita.,,Menganalisis berita krisis di media.,,Not Started
Week 8,Editing & News Production,Dasar-dasar editing video dan produksi berita.,Memahami proses produksi berita.,,Membuat video berita sederhana.,,Not Started
Week 9,Podcast & Radio Broadcasting,Teknik penyiaran di platform podcast dan radio.,Mengembangkan keterampilan penyiaran alternatif.,,Merekam podcast singkat tentang berita.,,Not Started
Week 10,Debate & Panel Discussion,Diskusi panel dan debat dalam format berita.,Berlatih diskusi berita secara profesional.,,Menyiapkan materi untuk debat berita.,,Not Started
Week 11,Mock Newscasting Session,Simulasi siaran berita lengkap.,Menyatukan semua keterampilan yang telah dipelajari.,,Mempersiapkan diri untuk mock newscasting.,,Not Started
Week 12,Final Evaluation & Feedback,Evaluasi akhir dan refleksi pembelajaran.,Mengevaluasi kemajuan individu dalam newscasting.,,Membuat refleksi belajar dari semua pertemuan.,,Not Started
